WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3
INCIDENT_EDGES_THE_SAME_REVERSED,101,500,1,1,100,200,5,2,291.3,285.21,5.78,
INCIDENT_EDGES_THE_SAME,103,500,0.2,1,100,0,0,2,16.25,10.62,5.58,
INCIDENT_EDGES_THE_SAME,103,500,0.2,1,100,50,5,2,16.19,10.45,5.7,
INCIDENT_EDGES_THE_SAME,103,500,0.2,1,100,100,5,2,16.41,10.63,5.72,
INCIDENT_EDGES_THE_SAME,103,500,0.2,1,100,200,5,2,16.66,10.8,5.71,
INCIDENT_EDGES_THE_SAME,103,500,0.4,1,100,0,0,2,32.94,27.28,5.59,
INCIDENT_EDGES_THE_SAME,103,500,0.4,1,100,50,5,2,32.9,27.06,5.76,
INCIDENT_EDGES_THE_SAME,103,500,0.4,1,100,100,5,2,32.04,26.2,5.73,
INCIDENT_EDGES_THE_SAME,103,500,0.4,1,100,200,5,2,32.73,26.84,5.71,
INCIDENT_EDGES_THE_SAME,103,500,0.6,1,100,0,0,2,69.33,63.49,5.73,
INCIDENT_EDGES_THE_SAME,103,500,0.6,1,100,50,5,2,71.4,65.6,5.68,
INCIDENT_EDGES_THE_SAME,103,500,0.6,1,100,100,5,2,69.66,63.77,5.75,
INCIDENT_EDGES_THE_SAME,103,500,0.6,1,100,200,5,2,71.43,65.4,5.81,
INCIDENT_EDGES_THE_SAME,103,500,0.8,1,100,0,0,3,151.87,140.24,5.91,5.58
INCIDENT_EDGES_THE_SAME,103,500,0.8,1,100,50,5,3,154.9,143.45,5.75,5.55
INCIDENT_EDGES_THE_SAME,103,500,0.8,1,100,100,5,3,158.45,146.74,5.85,5.71
INCIDENT_EDGES_THE_SAME,103,500,0.8,1,100,200,5,2,151.01,145.03,5.71,
INCIDENT_EDGES_THE_SAME,103,500,1,1,100,0,0,3,274.08,262.6,5.73,5.58
INCIDENT_EDGES_THE_SAME,103,500,1,1,100,50,5,3,277.51,265.84,5.81,5.66
INCIDENT_EDGES_THE_SAME,103,500,1,1,100,100,5,3,274.68,262.86,6,5.63
INCIDENT_EDGES_THE_SAME,103,500,1,1,100,200,5,2,269.3,263.08,5.92,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.2,1,100,0,0,2,16.62,10.9,5.68,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.2,1,100,50,5,2,18.17,12.14,5.97,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.2,1,100,100,5,2,16.51,10.79,5.63,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.2,1,100,200,5,2,16.62,10.73,5.74,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.4,1,100,0,0,2,32.5,26.65,5.78,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.4,1,100,50,5,2,32.45,26.73,5.62,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.4,1,100,100,5,2,32.16,26.43,5.63,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.4,1,100,200,5,2,33.04,27.15,5.69,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.6,1,100,0,0,2,82.35,76.4,5.83,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.6,1,100,50,5,2,80.24,74.34,5.77,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.6,1,100,100,5,2,71.53,65.58,5.81,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.6,1,100,200,5,2,73.6,67.55,5.82,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.8,1,100,0,0,3,156.88,145.11,5.89,5.74
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.8,1,100,50,5,3,183.68,171.26,5.99,6.24
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.8,1,100,100,5,3,170.14,158.46,5.9,5.61
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,0.8,1,100,200,5,2,154.19,148.03,5.89,
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,1,1,100,0,0,3,289.75,277.7,6.04,5.83
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,1,1,100,50,5,3,290.61,278.5,6.08,5.84
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,1,1,100,100,5,3,287.58,275.51,6.02,5.85
INCIDENT_EDGES_THE_SAME_REVERSED,103,500,1,1,100,200,5,2,281.54,275.24,6.01,
