SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,Blobs,1000000,102,1000.0,762.6,"[9.71, 7.69, 7.28, 7.26]",1210,32.82009489894297,1.677017464889619
Ball,Blobs,1000000,102,10000.0,760.61,"[9.81, 8.46, 7.78, 7.48]",50908,32.717247187192235,29.87826041584822
Ball,Blobs,1000000,102,100000.0,828.85,"[13.26, 10.93, 16.61, 15.59]",969239,32.5825341321627,29.730070666521865
Grid,Aniso,1000000,102,0,1553.87,"[20.41, 13.51, 12.11, 13.89]",17,10.82753037395751,4.258688399628475
Ball,Aniso,1000000,102,100.0,1143.65,"[10.41, 8.19, 7.73, 7.56]",101,13.369599495056896,3.956949585041275
Ball,Aniso,1000000,102,1000.0,945.57,"[11.1, 8.98, 8.94, 8.4]",1010,10.529126840305025,8.563996166738598
Ball,Aniso,1000000,102,10000.0,872.19,"[12.56, 10.24, 11.29, 10.32]",180511,9.036919451279372,8.360498011118617
Ball,Aniso,1000000,102,100000.0,1139.55,"[15.06, 15.75, 14.55, 21.43]",949134,10.16248319404324,2.0249588469077224
Grid,varied,1000000,102,0,1225.62,"[18.01, 14.04, 11.06, 9.86]",632,17.18092604725899,0.13994596744528995
Ball,varied,1000000,102,100.0,1110.46,"[22.82, 9.9, 8.69, 8.53]",1696,20.081653150871627,12.321156303316092
Ball,varied,1000000,102,1000.0,1133.8,"[10.93, 9.48, 8.65, 8.24]",19626,19.049403442180303,15.175531986529116
Ball,varied,1000000,102,10000.0,998.1,"[10.71, 9.68, 9.3, 10.29]",405700,17.711757911855145,8.466686524433483
Ball,varied,1000000,102,100000.0,863.54,"[11.02, 10.06, 11.12, 16.87]",1000000,17.19964122440389,14.590971607382128
Grid,Gaussian quantile,1000000,102,0,1453.04,"[21.17, 17.47, 14.72, 13.5]",59,5.215369966023457,3.319860728941783
Ball,Gaussian quantile,1000000,102,100.0,857.99,"[10.81, 9.61, 8.92, 7.86]",103,8.15004402568849,4.539976839541818
Ball,Gaussian quantile,1000000,102,1000.0,993.81,"[11.74, 10.59, 8.78, 8.24]",3834,7.236163525855178,3.87912114335137
Ball,Gaussian quantile,1000000,102,10000.0,848.41,"[10.44, 9.71, 9.49, 9.29]",172584,4.921392866762794,3.488996830765656
Ball,Gaussian quantile,1000000,102,100000.0,820.0,"[10.38, 10.42, 11.07, 15.47]",975962,4.737843317373807,2.9929809796475366
